AUDIT_NUMBER;ORG_LVL_CHILD;PRD_LVL_CHILD;ORG_LVL_NUMBER;PRD_LVL_NUMBER;INV_TYPE_CODE;ON_HAND_QTY;ON_HAND_RETL;ON_HAND_COST;PO_ORD_QTY;PO_ORD_RETL;PO_ORD_COST;TO_ORD_QTY;TO_ORD_RETL;TO_ORD_COST;TO_INTRN_QTY;TO_INTRN_RETL;TO_INTRN_COST;DATE_CREATED;DOWNLOAD_DATE_1;DOWNLOAD_DATE_2;CALDAT;NOMBRE_ARCHIVO;FECHA_STAGE;FECHA_PERMANENTE;FECHA_BACKUP;ON_HAND_QTY_ORI;ON_HAND_COST_ORI
66658;980;1108631;48;2799026255706;1;0.0;0;0;0;0;0;24;103998;26726;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:12.0;null;2022-12-27 01:56:15.0;0;0
66658;980;1108631;48;2799026255706;5;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:08.0;null;2022-12-27 01:56:01.0;0;0
66658;980;1108631;48;2799026255706;6;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:12.0;null;2022-12-27 01:56:14.0;0;0
66658;980;1108632;48;2799026262803;1;0.0;0;0;0;0;0;18;77997;20044;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:12.0;null;2022-12-27 01:56:15.0;0;0
66658;980;1108632;48;2799026262803;5;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:46:58.0;null;2022-12-27 01:55:33.0;0;0
66658;980;1108632;48;2799026262803;6;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:13.0;null;2022-12-27 01:56:15.0;0;0
66658;980;1108633;48;2799029450108;1;0.0;0;0;0;0;0;6;26002;6681;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:12.0;null;2022-12-27 01:56:15.0;0;0
66658;980;1108633;48;2799029450108;5;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:08.0;null;2022-12-27 01:56:01.0;0;0
66658;980;1108633;48;2799029450108;6;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:11.0;null;2022-12-27 01:56:10.0;0;0
66658;980;1108634;48;2799029494409;1;0.0;0;0;0;0;0;18;77998;20044;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:12.0;null;2022-12-27 01:56:15.0;0;0
66658;980;1108634;48;2799029494409;4;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:11.0;null;2022-12-27 01:56:10.0;0;0
66658;980;1108634;48;2799029494409;5;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:08.0;null;2022-12-27 01:56:01.0;0;0
66658;980;1108634;48;2799029494409;6;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:13.0;null;2022-12-27 01:56:15.0;0;0
66658;980;1108635;48;2799029452508;1;0.0;0;0;0;0;0;18;77998;20044;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:12.0;null;2022-12-27 01:56:15.0;0;0
66658;980;1108635;48;2799029452508;5;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:08.0;null;2022-12-27 01:56:01.0;0;0
66658;980;1108635;48;2799029452508;6;0.0;0;0;0;0;0;0;0;0;0;0;0;2022-12-27 00:00:00.0;null;2022-12-27 00:00:00.0;2022-12-26 00:00:00.0; NO_HAY_ARCHIVO;2022-12-27 01:47:11.0;null;2022-12-27 01:56:10.0;0;0
